date,asset,median_return,lower_return,upper_return,median_price,lower_price,upper_price
2026-03-17,BTC-USD,-0.06308901,-0.7282380032521998,0.5869626302028337,69850.44602006674,35916.882079098556,133808.2856369688
2026-03-18,BTC-USD,-0.036582936,-0.6912458714309673,0.7118736860582062,67341.2914260017,17992.61806769203,272675.31291058555
2026-03-19,BTC-USD,-0.04938733,-0.6603547553092999,0.660458373427043,64096.27931688745,9296.210194323894,527811.984748546
2026-03-20,BTC-USD,-0.07500654,-0.8113420117867485,0.549121615420559,59464.516474111966,4129.947930773854,914028.494180603
2026-03-23,BTC-USD,0.034249015,-0.6408158018433586,0.6317757586705592,61536.39418564891,2175.914416329505,1719239.8163813795
2026-03-24,BTC-USD,-0.00074579567,-0.7502658099002193,0.70408409434406,61490.516656357155,1027.5560210334725,3476292.3885627217
2026-03-25,BTC-USD,0.034660205,-0.6789864819804641,0.6927070407615444,63659.15373795042,521.1052228424188,6949525.34120242
2026-03-26,BTC-USD,-0.017679775,-0.739049251779969,0.7055260365943126,62543.56011927124,248.8630469269283,14072174.355602974
2026-03-27,BTC-USD,-0.08381416,-0.7684105328426304,0.5909050931680101,57515.1927099228,115.41013786146333,25409026.64907508
2026-03-30,BTC-USD,-0.09329533,-0.8445096763797215,0.5388705999874486,52391.99440375466,49.599587818647,43552847.71723703
2026-03-31,BTC-USD,-0.09601131,-0.7823426200774783,0.6816890442695269,47595.701319802494,22.683547988582948,86113322.73261712
2026-04-01,BTC-USD,-0.074174464,-0.7508755218600028,0.599683055085317,44193.0737722475,10.70557230041492,156858980.779522
2026-04-02,BTC-USD,-0.1038489,-0.7919002635205128,0.5937041586938671,39833.93373827423,4.849444285767432,284021900.26947683
2026-04-03,BTC-USD,-0.07943026,-0.8324672429899568,0.4901082177616249,36792.31241133359,2.1093859267209933,463663728.56836385
