date,asset,median_return,lower_return,upper_return,median_price,lower_price,upper_price
2026-03-16,ETH-USD,-0.0010551031,-0.007057418301701546,0.003798343800008301,2090.5989912672085,2078.0880974458,2100.770220572055
2026-03-17,ETH-USD,-0.0024618972,-0.007737382315099239,0.003048068843781948,2085.458354657074,2062.071179766304,2107.1832815899024
2026-03-18,ETH-USD,-0.0025791377,-0.008206313475966454,0.003048068843781948,2080.0867246239295,2045.218421341655,2113.6159198805117
2026-03-19,ETH-USD,-0.0030480688,-0.00752634946256876,0.002110206289216876,2073.7560373247957,2029.8831743791054,2118.0807947343014
2026-03-20,ETH-USD,-0.0025791377,-0.00752634946256876,0.002579137682914734,2068.4145495954276,2014.662912592197,2123.5506674727985
2026-03-23,ETH-USD,-0.0016412749,-0.007502901367843151,0.003071513888426127,2065.0224279277104,1999.6036601572182,2130.083210102651
2026-03-24,ETH-USD,-0.0010551031,-0.00752634946256876,0.0037748987786471863,2062.84480937676,1984.6104371176891,2138.1392544203554
2026-03-25,ETH-USD,-0.0011723436,-0.006799519527703524,0.0033059673849493284,2060.427880345274,1971.1618135994063,2145.2195702579215
2026-03-26,ETH-USD,-0.0018757253,-0.007291896175593138,0.003540445282123985,2056.566577433877,1956.84058422521,2152.8280635440938
2026-03-27,ETH-USD,-0.0005861718,-0.007502901367843151,0.0032825192902237177,2055.361361825439,1942.2135435680996,2159.906374181124
2026-03-30,ETH-USD,-0.0007034123,-0.006822964595630765,0.003798343800008301,2053.9161221631816,1929.006994465157,2168.1260418455713
2026-03-31,ETH-USD,-0.00046893134,-0.0063774814829230305,0.004478307859972121,2052.953143310377,1916.7439333639247,2177.8573513765173
2026-04-01,ETH-USD,0.0,-0.005650624353438616,0.0051582446321845055,2052.953143310377,1905.9436762499574,2189.1202959072925
2026-04-02,ETH-USD,0.0,-0.005650624353438616,0.005908550322055821,2052.953143310377,1895.2042752324658,2202.093110860575
